home_avg_FTHG,home_avg_HS,home_avg_HST,home_avg_HC,home_avg_HP,home_avg_HCS,away_avg_FTAG,away_avg_AS,away_avg_AST,away_avg_AC,away_avg_AP,away_avg_ACS,H_golas/shot,A_goals/shot,home_avg_HP_squared,away_avg_AP_squared
1.0,13.5,3.5,4.5,0.0,0.0,2.6666666666666665,25.333333333333332,10.666666666666666,9.333333333333334,3.0,0.3333333333333333,0.07407407407407407,0.10526315789473684,0.0,9.0
1.6,13.8,5.6,6.8,2.4,0.4,2.2,8.8,3.4,6.6,2.0,0.4,0.11594202898550725,0.25,5.76,4.0
2.0,10.333333333333334,3.0,7.0,2.3333333333333335,0.0,0.25,16.75,4.25,5.25,0.25,0.25,0.1935483870967742,0.014925373134328358,5.4444444444444455,0.0625
2.0,15.2,6.2,8.8,2.2,0.2,0.75,8.75,3.0,4.25,0.0,0.0,0.13157894736842105,0.08571428571428572,4.840000000000001,0.0
1.0,16.8,4.0,7.0,0.8,0.0,2.0,7.6,2.8,5.6,1.6,0.2,0.05952380952380952,0.2631578947368421,0.6400000000000001,2.5600000000000005
2.2,19.6,7.4,9.2,2.2,0.2,1.4,18.4,6.4,6.0,1.0,0.4,0.11224489795918367,0.07608695652173914,4.840000000000001,1.0
1.6,16.0,4.4,7.8,2.0,0.4,1.2,9.2,2.6,4.0,0.2,0.0,0.1,0.13043478260869565,4.0,0.04000000000000001
2.6,20.4,6.2,8.6,2.4,0.2,1.8,10.6,4.2,5.0,1.6,0.4,0.12745098039215688,0.169811320754717,5.76,2.5600000000000005
2.0,10.0,3.0,7.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.2,0.0,0.0,0.0
1.0,12.2,4.8,5.2,1.2,0.4,1.2,9.2,2.6,2.6,1.8,0.4,0.0819672131147541,0.13043478260869565,1.44,3.24
1.2,12.0,2.8,4.2,1.0,0.2,1.8,10.2,3.6,4.0,1.8,0.4,0.09999999999999999,0.17647058823529413,1.0,3.24
1.0,11.2,3.6,4.2,1.4,0.2,0.6,10.0,2.0,3.2,0.4,0.0,0.08928571428571429,0.06,1.9599999999999997,0.16000000000000003
1.2,14.4,5.0,6.6,0.8,0.0,1.2,6.6,3.2,3.0,0.0,0.0,0.08333333333333333,0.18181818181818182,0.6400000000000001,0.0
1.0,12.8,4.6,7.0,1.4,0.2,0.4,9.4,2.2,4.4,1.0,0.4,0.078125,0.0425531914893617,1.9599999999999997,1.0
1.0,13.4,4.4,4.2,0.8,0.2,0.4,12.2,4.0,2.4,0.4,0.2,0.07462686567164178,0.03278688524590164,0.6400000000000001,0.16000000000000003
1.2,11.0,3.4,3.0,0.8,0.2,0.8,10.6,3.6,5.6,0.4,0.2,0.10909090909090909,0.07547169811320756,0.6400000000000001,0.16000000000000003
1.6,12.0,4.0,6.0,1.4,0.0,1.2,12.2,4.6,4.2,0.6,0.0,0.13333333333333333,0.09836065573770492,1.9599999999999997,0.36
1.6,11.0,4.6,4.4,1.4,0.2,0.6,10.2,3.2,3.8,0.8,0.4,0.14545454545454548,0.058823529411764705,1.9599999999999997,0.6400000000000001
0.6666666666666666,14.333333333333334,3.3333333333333335,4.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,13.0,4.666666666666667,7.333333333333333,3.0,0.6666666666666666,0.04651162790697674,0.1794871794871795,0.4444444444444444,9.0
1.6,15.6,5.4,6.4,1.4,0.4,1.6,14.6,6.8,7.0,0.2,0.0,0.10256410256410257,0.10958904109589042,1.9599999999999997,0.04000000000000001
1.8,14.4,5.2,6.2,1.8,0.4,0.8,12.0,4.6,6.4,0.8,0.0,0.125,0.06666666666666667,3.24,0.6400000000000001
1.0,14.0,3.0,5.0,0.0,0.0,2.0,11.0,5.0,3.0,3.0,1.0,0.07142857142857142,0.18181818181818182,0.0,9.0
1.6,13.0,4.2,6.2,1.8,0.2,0.6,10.0,3.2,4.8,1.0,0.2,0.12307692307692308,0.06,3.24,1.0
3.4,20.6,9.2,6.4,2.6,0.4,2.0,9.4,3.4,3.2,1.2,0.0,0.16504854368932037,0.2127659574468085,6.760000000000001,1.44
1.2,11.2,4.0,4.2,1.4,0.6,2.2,10.6,4.6,4.2,2.0,0.2,0.10714285714285715,0.2075471698113208,1.9599999999999997,4.0
1.2,9.2,3.0,1.0,2.2,0.6,0.2,7.2,2.4,3.8,0.2,0.0,0.13043478260869565,0.02777777777777778,4.840000000000001,0.04000000000000001
2.0,14.2,5.0,7.8,1.4,0.2,1.4,12.8,3.8,5.0,1.0,0.2,0.14084507042253522,0.10937499999999999,1.9599999999999997,1.0
1.4,14.8,5.8,5.0,1.2,0.4,1.2,8.2,4.0,3.4,0.4,0.0,0.09459459459459459,0.14634146341463417,1.44,0.16000000000000003
2.0,17.4,5.8,8.6,1.8,0.4,0.6,12.0,4.6,5.0,0.4,0.2,0.1149425287356322,0.049999999999999996,3.24,0.16000000000000003
0.4,9.4,2.2,4.4,0.8,0.4,1.8,15.0,4.6,5.4,1.4,0.0,0.0425531914893617,0.12000000000000001,0.6400000000000001,1.9599999999999997
1.2,9.8,4.2,5.2,2.0,0.4,1.8,11.6,4.8,5.6,1.0,0.2,0.12244897959183672,0.15517241379310345,4.0,1.0
0.8,11.6,3.2,6.4,0.2,0.2,1.4,9.4,4.0,3.6,0.8,0.0,0.06896551724137931,0.14893617021276595,0.04000000000000001,0.6400000000000001
1.25,10.25,2.5,5.0,1.75,0.25,0.25,9.75,2.5,4.5,0.25,0.0,0.12195121951219512,0.02564102564102564,3.0625,0.0625
2.3333333333333335,17.0,7.333333333333333,9.333333333333334,2.0,0.3333333333333333,1.3333333333333333,16.0,3.0,4.0,1.6666666666666667,0.3333333333333333,0.13725490196078433,0.08333333333333333,4.0,2.777777777777778
0.6,11.8,3.8,5.4,1.0,0.4,0.75,9.0,3.75,2.5,0.75,0.5,0.05084745762711864,0.08333333333333333,1.0,0.5625
2.0,9.0,3.0,4.0,1.0,0.0,2.0,8.0,3.0,6.0,1.0,0.0,0.2222222222222222,0.25,1.0,1.0
4.0,14.0,5.0,10.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2857142857142857,1.0,9.0,0.0
2.8,12.2,5.2,2.4,2.6,0.4,2.4,11.4,4.4,4.6,2.6,0.4,0.22950819672131148,0.21052631578947367,6.760000000000001,6.760000000000001
2.4,10.0,4.4,2.2,2.2,0.6,2.4,14.2,6.2,4.2,2.0,0.6,0.24,0.16901408450704225,4.840000000000001,4.0
0.8,9.8,3.0,6.0,1.4,0.4,1.6,10.8,4.0,4.4,1.8,0.4,0.08163265306122448,0.14814814814814814,1.9599999999999997,3.24
0.0,10.0,2.0,5.0,0.0,0.0,0.5,10.0,2.0,5.5,0.0,0.0,0.0,0.05,0.0,0.0
1.0,6.5,2.0,4.0,1.5,0.5,0.5,17.5,4.5,5.0,0.0,0.0,0.15384615384615385,0.02857142857142857,2.25,0.0
2.2,17.2,5.8,6.8,2.2,0.4,1.2,7.0,2.8,3.0,1.4,0.0,0.12790697674418605,0.17142857142857143,4.840000000000001,1.9599999999999997
1.6,12.4,4.4,5.4,2.6,0.6,1.0,10.2,3.6,5.2,0.8,0.2,0.12903225806451613,0.09803921568627452,6.760000000000001,0.6400000000000001
2.8,20.6,7.0,8.0,3.0,0.8,0.6,9.0,4.4,3.4,0.4,0.2,0.13592233009708737,0.06666666666666667,9.0,0.16000000000000003
2.2,12.8,4.6,6.8,2.0,0.2,2.0,11.2,4.2,4.6,1.0,0.0,0.171875,0.17857142857142858,4.0,1.0
2.4,20.0,6.6,5.4,2.4,0.6,0.6,12.0,3.4,6.8,0.4,0.0,0.12,0.049999999999999996,5.76,0.16000000000000003
1.8,21.4,5.4,10.0,2.6,0.6,1.8,16.0,6.0,5.6,1.8,0.0,0.08411214953271029,0.1125,6.760000000000001,3.24
2.5,14.0,6.5,4.5,3.0,0.5,1.5,8.5,2.5,2.0,1.5,0.0,0.17857142857142858,0.17647058823529413,9.0,2.25
2.0,11.4,3.6,6.2,2.2,0.2,1.8,12.8,4.6,3.8,2.0,0.6,0.17543859649122806,0.140625,4.840000000000001,4.0
1.5,10.0,3.0,3.5,0.5,0.0,0.5,13.0,5.0,2.5,1.5,0.5,0.15,0.038461538461538464,0.25,2.25
1.4,13.0,4.4,6.8,1.6,0.2,3.0,18.4,7.2,6.4,2.2,0.2,0.10769230769230768,0.16304347826086957,2.5600000000000005,4.840000000000001
1.4,13.8,4.8,7.6,0.6,0.2,1.6,10.8,3.6,3.2,2.4,0.4,0.10144927536231883,0.14814814814814814,0.36,5.76
1.8,14.4,4.0,6.2,1.4,0.2,0.6,10.0,2.8,4.0,1.6,0.6,0.125,0.06,1.9599999999999997,2.5600000000000005
1.8,16.8,5.4,8.0,1.4,0.2,2.0,18.0,6.4,7.0,1.6,0.2,0.10714285714285714,0.1111111111111111,1.9599999999999997,2.5600000000000005
1.6,11.8,3.2,3.6,2.0,0.2,0.8,10.6,3.6,4.0,1.6,0.6,0.13559322033898305,0.07547169811320756,4.0,2.5600000000000005
1.0,11.0,3.5,6.0,1.75,0.25,1.25,6.75,3.0,3.25,1.75,0.5,0.09090909090909091,0.18518518518518517,3.0625,3.0625
0.6,11.8,3.4,6.0,0.6,0.2,0.8,13.8,3.6,6.6,0.4,0.0,0.05084745762711864,0.057971014492753624,0.36,0.16000000000000003
0.0,11.0,3.0,4.0,0.0,0.0,0.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,15.2,4.0,5.2,1.8,0.4,0.6,7.8,2.4,3.0,1.4,0.4,0.07894736842105263,0.07692307692307693,3.24,1.9599999999999997
3.0,21.6,8.6,6.4,2.6,0.8,1.2,14.0,4.0,3.8,0.8,0.2,0.13888888888888887,0.08571428571428572,6.760000000000001,0.6400000000000001
3.0,16.4,7.4,7.4,3.0,0.6,1.2,13.6,4.8,4.0,1.6,0.6,0.1829268292682927,0.08823529411764706,9.0,2.5600000000000005
2.0,23.0,8.0,10.666666666666666,3.0,0.3333333333333333,1.0,8.25,3.5,3.5,1.25,0.5,0.08695652173913043,0.12121212121212122,9.0,1.5625
2.2,17.8,7.8,5.4,1.8,0.0,0.8,10.0,3.6,4.0,0.6,0.2,0.12359550561797754,0.08,3.24,0.36
1.0,9.0,2.2,3.0,1.0,0.2,2.4,12.0,4.2,5.4,2.0,0.4,0.1111111111111111,0.19999999999999998,1.0,4.0
2.2,18.0,6.2,4.8,2.4,0.2,1.4,8.8,3.2,4.2,1.0,0.2,0.12222222222222223,0.15909090909090906,5.76,1.0
1.2,11.0,3.8,3.8,0.8,0.0,1.6,14.8,4.6,4.6,1.2,0.0,0.10909090909090909,0.10810810810810811,0.6400000000000001,1.44
1.8,16.4,5.4,5.8,1.6,0.4,1.6,9.2,4.0,5.0,0.8,0.0,0.10975609756097562,0.1739130434782609,2.5600000000000005,0.6400000000000001
2.2,11.0,5.6,4.6,2.0,0.0,1.8,9.4,4.2,2.8,0.6,0.0,0.2,0.19148936170212766,4.0,0.36
2.4,13.2,5.4,5.0,2.6,0.4,1.4,9.8,4.0,2.4,0.8,0.2,0.18181818181818182,0.14285714285714285,6.760000000000001,0.6400000000000001
1.0,14.0,3.0,5.0,0.0,0.0,2.0,15.0,3.0,3.0,3.0,0.0,0.07142857142857142,0.13333333333333333,0.0,9.0
1.8,16.0,6.0,7.4,1.2,0.0,2.0,11.4,5.0,2.8,2.0,0.2,0.1125,0.17543859649122806,1.44,4.0
1.8,12.4,4.4,4.4,1.6,0.2,0.8,12.8,3.8,7.2,0.6,0.0,0.14516129032258066,0.0625,2.5600000000000005,0.36
1.6,18.4,5.4,7.2,2.2,0.6,0.8,8.2,2.8,3.6,0.4,0.0,0.08695652173913045,0.09756097560975611,4.840000000000001,0.16000000000000003
1.4,9.8,3.4,3.8,1.0,0.0,2.4,15.0,5.2,3.6,2.6,0.4,0.14285714285714285,0.16,1.0,6.760000000000001
0.5,13.5,6.0,5.0,0.5,0.0,1.5,14.0,4.5,6.0,0.5,0.0,0.037037037037037035,0.10714285714285714,0.25,0.25
1.0,13.666666666666666,3.3333333333333335,5.333333333333333,1.0,0.3333333333333333,0.6666666666666666,9.666666666666666,3.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.07317073170731708,0.06896551724137931,1.0,0.1111111111111111
1.5,13.5,4.25,4.5,1.75,0.25,1.4,11.2,4.4,2.8,1.6,0.4,0.1111111111111111,0.125,3.0625,2.5600000000000005
2.0,11.8,5.4,5.8,2.0,0.4,0.8,10.4,3.6,4.4,0.0,0.0,0.1694915254237288,0.07692307692307693,4.0,0.0
1.25,6.5,2.5,2.5,1.75,0.5,1.0,14.0,4.0,8.5,2.25,0.5,0.19230769230769232,0.07142857142857142,3.0625,5.0625
1.6,15.4,5.2,6.6,2.4,0.6,2.2,12.6,5.2,6.4,1.2,0.4,0.1038961038961039,0.17460317460317462,5.76,1.44
3.0,10.5,4.5,3.5,3.0,0.5,1.3333333333333333,7.333333333333333,3.0,2.0,1.0,0.3333333333333333,0.2857142857142857,0.18181818181818182,9.0,1.0
0.8,11.2,4.6,2.6,0.6,0.0,0.8,11.0,3.4,2.2,0.6,0.2,0.07142857142857144,0.07272727272727274,0.36,0.36
1.6666666666666667,17.333333333333332,8.666666666666666,6.333333333333333,2.0,0.6666666666666666,3.3333333333333335,12.0,5.333333333333333,4.333333333333333,3.0,0.6666666666666666,0.09615384615384616,0.2777777777777778,4.0,9.0
2.5,26.0,11.0,11.5,1.5,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.09615384615384616,0.0,2.25,0.0
1.6,9.2,4.6,4.2,1.8,0.4,1.0,8.0,4.6,4.4,0.2,0.0,0.1739130434782609,0.125,3.24,0.04000000000000001
1.8,14.4,5.2,7.4,1.8,0.2,0.8,7.2,3.4,3.2,0.2,0.2,0.125,0.11111111111111112,3.24,0.04000000000000001
3.0,20.5,7.5,7.5,3.0,0.0,0.5,14.0,3.5,3.5,0.0,0.0,0.14634146341463414,0.03571428571428571,9.0,0.0
